,Surface,Player,Count_Win,Count_Lose,total_play,perc_win
129,Grass,Federer R.,147,20,167,88.02
289,Grass,Murray A.,90,18,108,83.33
104,Grass,Djokovic N.,65,14,79,82.28
345,Grass,Roddick A.,82,21,103,79.61
291,Grass,Nadal R.,58,17,75,77.33
182,Grass,Hewitt L.,103,31,134,76.87
404,Grass,Tsonga J.W.,42,16,58,72.41
34,Grass,Berdych T.,59,24,83,71.08
352,Grass,Rusedski G.,41,17,58,70.69
177,Grass,Henman T.,42,18,60,70.0
